test	size	container	runtime	min	max	avg	var	dev
find	6000	tuple	182993	180.19000	233.91600	182.99372	35.66643	5.97214
find	6000	map	240304	232.49100	338.69800	240.30432	201.86146	14.20780
lower_bound	6000	tuple	421534	411.84900	564.85500	421.53469	307.04080	17.52258
lower_bound	6000	map	500853	478.21800	671.96300	500.85358	503.65505	22.44226
emplace	7000	vector	16020	14.28700	45.91800	16.02078	7.22215	2.68741
emplace	7000	tuple	17374	15.79600	33.71900	17.37458	4.74136	2.17747
emplace	7000	map	288111	272.49500	373.32700	288.11170	128.05785	11.31626
array	7000	tuple	6522	6.37800	18.99100	6.52226	0.44115	0.66419
array	7000	vector	6766	6.44100	16.67800	6.76680	0.87738	0.93669
array	7000	map	302099	293.60000	447.87000	302.09968	240.00587	15.49212
iterator	7000	tuple	4871	4.73700	19.98500	4.87191	0.46681	0.68323
iterator	7000	vector	5429	5.21900	17.98000	5.42909	0.53095	0.72867
iterator	7000	map	57202	50.77600	145.02000	57.20281	112.13946	10.58959
find	7000	tuple	213854	210.43500	259.39000	213.85455	50.67921	7.11893
find	7000	map	291940	281.58200	366.93600	291.94074	266.98858	16.33979
lower_bound	7000	tuple	506193	480.90300	702.43200	506.19372	584.28663	24.17202
lower_bound	7000	map	627893	580.39900	762.98900	627.89325	869.59077	29.48882
emplace	8000	vector	17112	15.48300	49.01200	17.11233	10.18972	3.19213
emplace	8000	tuple	19407	17.83800	35.40900	19.40741	5.05265	2.24781
emplace	8000	map	331615	315.36900	478.73900	331.61512	209.53226	14.47523
array	8000	vector	7458	7.34900	12.53100	7.45800	0.09466	0.30767
array	8000	tuple	7836	7.67600	25.25600	7.83641	0.65716	0.81065
array	8000	map	344869	338.08400	471.33500	344.86950	234.83457	15.32431
iterator	8000	tuple	6137	5.83600	24.76500	6.13735	1.51158	1.22946
iterator	8000	vector	6682	6.47300	15.98400	6.68214	0.55236	0.74321
iterator	8000	map	66268	62.55900	173.73500	66.26884	44.99905	6.70813
find	8000	tuple	247604	240.07300	388.87700	247.60494	148.61240	12.19067
find	8000	map	334860	322.49000	449.91400	334.86038	226.38772	15.04619
lower_bound	8000	tuple	569508	549.24700	732.01800	569.50805	426.28347	20.64663
lower_bound	8000	map	703582	681.76100	888.07100	703.58213	713.35795	26.70876
emplace	9000	vector	19030	17.62600	70.10200	19.03019	8.09941	2.84595
emplace	9000	tuple	22563	21.08900	49.46800	22.56373	7.78115	2.78947
emplace	9000	map	372818	350.57200	505.47100	372.81858	279.12095	16.70691
array	9000	vector	8934	8.68200	20.19400	8.93476	0.80187	0.89547
array	9000	tuple	9026	8.77100	22.89700	9.02609	1.51324	1.23014
array	9000	map	402788	392.35600	675.96300	402.78809	476.86206	21.83717
iterator	9000	tuple	7356	7.11900	33.56800	7.35687	1.46106	1.20874
iterator	9000	vector	7611	7.26600	20.54500	7.61163	1.14713	1.07104
iterator	9000	map	68206	64.10800	120.93400	68.20635	37.96400	6.16149
find	9000	tuple	275704	270.51900	375.52100	275.70454	113.93660	10.67411
find	9000	map	390253	380.91600	535.21100	390.25358	282.68511	16.81324
lower_bound	9000	tuple	632102	618.05000	918.89600	632.10299	525.02665	22.91346
lower_bound	9000	map	833796	780.17600	1847.59500	833.79661	3434.32101	58.60308
emplace	10000	vector	22472	20.20500	72.02600	22.47216	12.54117	3.54135
emplace	10000	tuple	25133	22.99700	52.34100	25.13388	7.85977	2.80353
emplace	10000	map	415365	393.09500	513.90100	415.36520	224.73303	14.99110
array	10000	vector	9978	9.55400	22.49000	9.97867	1.76424	1.32825
array	10000	tuple	10462	10.24700	29.01100	10.46237	0.73422	0.85687
array	10000	map	453616	442.87800	552.72300	453.61616	294.46615	17.16002
iterator	10000	vector	8434	8.26800	14.88600	8.43418	0.08443	0.29057
iterator	10000	tuple	8491	8.13500	32.43100	8.49135	1.59205	1.26177
iterator	10000	map	76401	72.00100	163.51700	76.40156	50.14247	7.08113
find	10000	tuple	307957	300.12300	415.37500	307.95781	175.22243	13.23716
find	10000	map	436057	423.74900	536.73200	436.05784	363.46080	19.06465
lower_bound	10000	tuple	696567	686.95700	911.59700	696.56786	330.62447	18.18308
lower_bound	10000	map	929098	891.63900	1178.96300	929.09860	1126.68922	33.56619
emplace	11000	vector	23675	21.80000	145.80100	23.67507	24.70029	4.96994
emplace	11000	tuple	27271	25.60000	47.40700	27.27113	6.29533	2.50905
emplace	11000	map	485642	429.16300	910.57200	485.64228	2956.91277	54.37750
array	11000	tuple	11236	10.91000	28.35400	11.23622	1.39575	1.18142
array	11000	vector	12150	11.79600	22.76500	12.15089	0.46312	0.68053
array	11000	map	498075	482.95000	675.93400	498.07583	431.87512	20.78161
iterator	11000	vector	9547	9.25500	20.87600	9.54726	0.65612	0.81001
iterator	11000	tuple	9875	9.70200	29.60500	9.87553	0.43846	0.66217
iterator	11000	map	91674	83.21400	232.00800	91.67413	196.58480	14.02087
find	11000	tuple	337787	330.26900	557.95500	337.78798	183.37668	13.54166
find	11000	map	475578	461.15500	595.74900	475.57810	348.63280	18.67171
lower_bound	11000	tuple	767741	755.25200	1021.98100	767.74165	516.41463	22.72476
lower_bound	11000	map	970789	913.59200	1818.56400	970.78989	3493.89437	59.10917
emplace	12000	vector	26002	24.48800	130.60100	26.00203	17.18631	4.14564
emplace	12000	tuple	30296	27.88900	52.27300	30.29626	10.66890	3.26633
emplace	12000	map	497645	467.06600	826.81600	497.64509	685.50507	26.18215
array	12000	tuple	12038	11.76400	28.32200	12.03818	0.64818	0.80510
array	12000	vector	12570	11.82000	37.64500	12.57027	5.15938	2.27143
array	12000	map	542850	531.47200	974.56000	542.85062	659.14751	25.67387
iterator	12000	vector	10988	10.40000	37.92200	10.98889	3.44783	1.85683
iterator	12000	tuple	11143	10.74300	44.36000	11.14361	3.11486	1.76490
iterator	12000	map	94303	90.11000	282.16200	94.30321	93.60591	9.67501
find	12000	tuple	378794	360.88800	485.53400	378.79490	330.61813	18.18291
find	12000	map	540856	506.76100	799.44100	540.85689	704.00308	26.53306
lower_bound	12000	tuple	844422	824.15000	1084.35500	844.42239	686.94925	26.20972
lower_bound	12000	map	1100714	1023.35600	1617.69900	1100.71439	1647.10041	40.58448
emplace	13000	vector	28260	26.42200	246.09500	28.26088	57.12340	7.55800
emplace	13000	tuple	34785	30.20800	86.88100	34.78502	29.38156	5.42048
emplace	13000	map	537791	506.36900	772.99100	537.79186	519.73928	22.79779
array	13000	tuple	14122	13.75200	31.70300	14.12296	1.59091	1.26131
array	13000	vector	14552	13.54000	31.75300	14.55284	3.70744	1.92547
array	13000	map	603747	591.53900	789.31900	603.74707	441.78418	21.01866
iterator	13000	vector	12016	11.41300	29.12800	12.01616	3.89429	1.97340
iterator	13000	tuple	12045	11.65600	43.88200	12.04589	3.67395	1.91676
iterator	13000	map	98791	93.09500	399.32100	98.79130	181.13204	13.45853
find	13000	tuple	403915	390.77900	617.12000	403.91539	362.14888	19.03021
find	13000	map	581726	567.74000	751.47200	581.72651	427.48124	20.67562
lower_bound	13000	tuple	907428	892.82000	1144.97800	907.42898	528.67058	22.99284
lower_bound	13000	map	1212868	1134.77400	2688.44700	1212.86879	15778.12072	125.61099
emplace	14000	vector	33327	31.19500	98.43800	33.32709	14.85175	3.85380
emplace	14000	tuple	35145	32.80700	70.04000	35.14581	9.43651	3.07189
emplace	14000	map	580601	542.58200	825.20300	580.60173	574.91406	23.97737
array	14000	tuple	14435	14.15100	35.66300	14.43558	1.42235	1.19262
array	14000	vector	15024	14.13300	32.43900	15.02410	3.49382	1.86918
array	14000	map	670180	657.01200	859.74200	670.18031	588.48083	24.25862
iterator	14000	tuple	13077	12.68500	48.44900	13.07709	2.48207	1.57546
iterator	14000	vector	13643	12.66800	38.49300	13.64306	6.91657	2.62994
iterator	14000	map	114044	108.39500	439.42500	114.04486	206.80951	14.38087
find	14000	tuple	428971	420.65900	626.50000	428.97186	255.64206	15.98881
find	14000	map	646233	613.57200	1028.76800	646.23339	1292.70658	35.95423
lower_bound	14000	tuple	978458	961.94500	1288.24300	978.45830	878.36309	29.63719
lower_bound	14000	map	1328404	1204.87600	1799.04600	1328.40447	3839.89280	61.96687
emplace	15000	vector	32281	30.65300	121.62300	32.28150	15.47127	3.93335
emplace	15000	tuple	38499	34.92000	85.34000	38.49963	23.50077	4.84776
emplace	15000	map	621812	588.25600	853.93600	621.81252	544.84199	23.34185
array	15000	tuple	16338	15.96200	43.50100	16.33842	2.08209	1.44294
